table,roll,name,new_page,confidence,reason
A,15-16,of Health,442,high,"type Elixirs (Glitz & Klax's line) -> head 'elixir' 442; current 969 is the 'ring' head, wrong."
A,21-22,of Life,442,high,type Elixirs -> head 'elixir' 442; current 905 not among candidates and wrong.
A,59-60,Liquid Road,670,med,"both heads 'liquid' and 'road' point to 670 (consistent), vs a separate 'liquid' entry at current 772."
A,72-73,Allspice II,763,med,"type Oils -> head 'oil' 763; current 899 is the 'powder' head, wrong section."
A,87-88,of Armor II,764,high,"type Oils -> head 'oil' 764, not 'buckle' 230; current 69 wrong."
A,172,of Enchantment II,768,high,"type Oils -> head 'oil' 768; current 1512 is 'weapon' head, wrong."
A,374-375,of Far Seeing (Blue),780,high,type Ointments -> head 'ointment' 780.
A,383-384,of Far Seeing (Gray),780,high,type Ointments -> head 'ointment' 780.
A,387-388,of Far Seeing (White),780,high,type Ointments -> only candidate head 'ointment' 780; current 274 wrong.
A,392-393,of Healing II,780,high,"type Ointments -> head 'ointment' 780; current 1324 is 'harp' head, wrong."
A,424-425,Grades of Overwhelming Love,827,med,type Philters -> head 'philter' 827; fuzzy 'aleese's of overwhelming love' matches the '...of Overwhelming Love' name; current 828.
A,429-430,of Drunkenness II,828,high,"type Philters -> head 'philter' 828, not 'potion' 865; current 865 wrong."
A,448,of Blackmoor (Red),836,med,Type Pigments (Paints) -> head 'pigment' p836 fits far better than 'crown' p332. Current 807 is wrong.
A,449-450,of Blackmoor (Blue),836,med,Type Pigments -> head 'pigment' p836; current 101 is clearly wrong.
A,484-485,of Anti-Magic,855,med,Fuzzy 'of antimagic' = same item; head 'potion' p855 fits type Potions. Current 741 wrong.
A,565-566,of Black Dragon Breath,864,high,"Type Potions; fuzzy 'of dragon breath' -> head 'potion' p864, not 'egg'. Current 1448 wrong."
A,567-568,of Blue Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,569-570,of Brass Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,571-572,of Bronze Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,573-574,of Brown Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,575,of Cloud Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,576-577,of Copper Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,580-581,of Deep Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,584-585,of Gold Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,586,of Green Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,589-590,of Mist Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,591-592,of Red Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,595-596,of Shadow Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
A,597-598,of Silver Dragon Breath,864,high,Potion dragon breath -> head 'potion' p864. Current 1448 wrong.
